geojson_filename,geojson_url,source_school_nam,source_local_auth,source_seed_code,matched_school_key,matched_method
scotland_sn_scottish_borders_galashiels_academy_5619734.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_scottish_borders_galashiels_academy_5619734.geojson,GALASHIELS ACADEMY,Scottish Borders,5619734,Galashiels Academy|TD1 3HU,seed_code
scotland_sn_highland_dingwall_academy_5119138.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_highland_dingwall_academy_5119138.geojson,DINGWALL ACADEMY,Highland,5119138,Dingwall Academy|IV15 9LT,seed_code
scotland_sn_fife_dunfermline_high_school_5446139.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_fife_dunfermline_high_school_5446139.geojson,DUNFERMLINE HIGH SCHOOL,Fife,5446139,Dunfermline High School|KY11 3BQ,seed_code
scotland_sn_angus_brechin_high_school_5307236.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_angus_brechin_high_school_5307236.geojson,BRECHIN HIGH SCHOOL,Angus,5307236,Brechin High School|DD9 6LB,seed_code
scotland_sn_moray_forres_academy_5203031.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_moray_forres_academy_5203031.geojson,FORRES ACADEMY,Moray,5203031,Forres Academy|IV36 1FG,seed_code
scotland_sn_north_lanarkshire_airdrie_academy_8505438.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_north_lanarkshire_airdrie_academy_8505438.geojson,AIRDRIE ACADEMY,North Lanarkshire,8505438,Airdrie Academy|ML6 6NX,seed_code
scotland_sn_renfrewshire_castlehead_high_school_8628939.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_renfrewshire_castlehead_high_school_8628939.geojson,CASTLEHEAD HIGH SCHOOL,Renfrewshire,8628939,Castlehead High School|PA1 2HL,seed_code
scotland_sn_south_ayrshire_carrick_academy_8236739.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_south_ayrshire_carrick_academy_8236739.geojson,CARRICK ACADEMY,South Ayrshire,8236739,Carrick Academy|KA19 8BP,seed_code
scotland_sn_dumfries_and_galloway_lockerbie_academy_5948630.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_dumfries_and_galloway_lockerbie_academy_5948630.geojson,LOCKERBIE ACADEMY,Dumfries and Galloway,5948630,Lockerbie Academy|DG11 2AT,seed_code
scotland_sn_perth_and_kinross_blairgowrie_high_school_5350131.geojson,https://raw.githubusercontent.com/McCrackenLab/powerbi-school-catchments/refs/heads/main/scotland-secondary-non-denom-catchments/scotland_sn_perth_and_kinross_blairgowrie_high_school_5350131.geojson,BLAIRGOWRIE HIGH SCHOOL,Perth and Kinross,5350131,Blairgowrie High School|PH10 6PW,seed_code
